"year","dataset","type","modalities","conditions_or_scale","tasks","generalization_axis","paper_or_project_url"
"2026","CARD","Real","Stereo cameras + front/rear LiDAR + wheel traces","110 km; Germany and Italy; potholes speed bumps off-road","Dense depth; road-irregularity detection","Road topography and fine-grained geometry","https://openaccess.thecvf.com/content/CVPR2026/html/Elazab_CARD_A_Multi-Modal_Automotive_Dataset_for_Dense_3D_Reconstruction_in_CVPR_2026_paper.html"
"2026","SearchAD","Aggregated real","Camera","423K+ frames from 11 datasets; 90 rare categories","Text/image retrieval; long-tail curation","Semantic rarity and data retrieval","https://openaccess.thecvf.com/content/CVPR2026/html/Embacher_SearchAD_Large-Scale_Rare_Image_Retrieval_Dataset_for_Autonomous_Driving_CVPR_2026_paper.html"
"2026","URScenes","Real","LiDAR + radar + camera","472 scenes; rain snow fog dust glare night cloud sun","3D detection; tracking; occupancy","Unstructured roads and adverse conditions","https://openaccess.thecvf.com/content/CVPR2026/html/Liu_URScenes_A_Multi-scenario_Dataset_for_Unstructured_Road_Environments_CVPR_2026_paper.html"
"2026","V2U4Real","Real cooperative","Vehicle/UAV LiDAR + RGB","56K+ LiDAR frames; 56K+ images; 700K 3D boxes","Single/cooperative 3D detection; tracking","Ground-to-aerial viewpoint and occlusion","https://openaccess.thecvf.com/content/CVPR2026/html/Li_V2U4Real_A_Real-world_Large-scale_Dataset_for_Vehicle-to-UAV_Cooperative_Perception_CVPR_2026_paper.html"
"2025","CleanBench","Synthetic + real","Camera + instructions","150K synthetic and 80K real instruction-response pairs","Restoration planning and perception","Unknown and coupled degradations","https://openaccess.thecvf.com/content/CVPR2025/html/Lin_JarvisIR_Elevating_Autonomous_Driving_Perception_with_Intelligent_Image_Restoration_CVPR_2025_paper.html"
"2025","RCP-Bench","Derived real + simulated cooperative","Multi-agent camera","OPV2V-C; V2XSet-C; DAIR-V2X-C; 14 corruptions","Collaborative 3D detection","Global ego and connected-agent interference","https://github.com/LuckyDush/RCP-Bench"
"2025","Impromptu VLA Dataset","Aggregated real","Video + language + trajectories","80K curated clips from 2M clips and 8 datasets","VQA; prediction; planning","Unstructured corner cases","https://github.com/ahydchh/Impromptu-VLA"
"2025","STSnu","Derived real","Multi-view camera/LiDAR + language","43 scenarios; 971 human-verified questions","Spatial-temporal reasoning","Cross-view temporal and interaction reasoning","https://proceedings.neurips.cc/paper_files/paper/2025/hash/d7b7c2ff14a479d574b971fd8a36f3e4-Abstract-Datasets_and_Benchmarks_Track.html"
"2025","WorldModelBench","Generated-video benchmark","Video + instructions","67K human labels; 14 frontier models","World-model judging","Physics adherence and instruction following","https://github.com/WorldModelBench-Team/WorldModelBench"
"2024","WayveScenes101","Real","Multi-camera RGB + poses","101 diverse driving scenes","Novel-view synthesis and reconstruction","Occlusion glare dynamic scenes and trajectory shift","https://wayve.ai/science/wayvescenes101/"
"2022","SHIFT","Synthetic","Multi-view RGB + LiDAR","Continuous weather time traffic and camera shifts","Detection segmentation tracking depth flow","Continuous multi-task domain shift","https://www.vis.xyz/shift/"
"2021","ACDC","Real","RGB","Fog night rain snow","Semantic segmentation and uncertainty","Adverse-condition transfer","https://acdc.vision.ee.ethz.ch/"
"2020","nuScenes","Real","Camera + LiDAR + radar","Boston and Singapore; day/night; rain","3D detection tracking prediction maps","Geography weather and multimodal sensing","https://www.nuscenes.org/"
"2020","Waymo Open Dataset","Real","Camera + LiDAR","Multiple US cities and geographies","2D/3D detection tracking motion","Geographic transfer and scale","https://waymo.com/open/"
